firm,Model name,mod_key,url,user_rating,vse_rating,release_year,end_year,digital,analog,poly,keyboard,memory,specifications,raw_text,
Korg,01/W,11745,http://www.vintagesynth.com/korg/01w.php,3.91,4,1991,1995,0,1,1,1,1,"{'Polyphony': '32 voices (16-part multitimbral)', 'Oscillators': '48 MB ROM using AI2 synthesis system (digital). 32 sounds, 32 oscillators (single mode); 16 sounds, 32 oscillators (double mode).', 'Sampler': 'None.', 'Effects': '2 Multi FX processors with 47 Digital multi-effects: reverb, delay, overdrive, EQ, chorus, rotary speaker, and more.', 'LFO': '2 LFOs', 'Filter': 'VDF: Digital Lowpass Filter, velocity sensitive (non-resonant)', 'VCA': 'VDA: Digital Amplifier with 4-stage ADSR envelope generators', 'Keyboard': '01/W, 01/WFD: 61 keys.01/WPro: 76 Keys.01/WProX: 88 weighted keys.All keyboards feature Velocity, Aftertouch, Multi, Layer, Split modes.', 'Sequencer': '16 tracks, 16 instruments, 48,000 notes (FD & Pro version) or 7,000 notes (01/W), 100 patterns, 10 songs. Realtime and Step-editor.', 'Arpeggiator': 'None.', 'Memory': '200 user programs, 200 user combis; Floppy: 3.5"" 720 2DD (programs, combis, drum-kit, global, sequencer and midi data).', 'Control': 'MIDI In / Out / Through (16-parts)', 'Date Produced': '1991-1995'}","Korg 01/WFDKorg's 01/W workstation synthesizer debuted in 1991 as the follow-up to
the popular M1. The 01/W was the second chapter in Korg's workstation
legacy, which goes on to this day with the Triton and Oasys series. The 01/W was
geared towards beginning home studio enthusiasts that wanted to
take a step further into a more professional realm. Compared with the M1, the 01/W featured 
many enhancements including a more dynamic 16-track sequencer (the M1
only had 8-tracks), 254 real world sampled instruments to the M1's 100, 
polyphony was doubled from 16 to 32 voices, and greater overall control.The 01/W synthesis engine is based on Korg's own  AI2 sample
+ synthesis design. AI2 was so successful that most later
Korg synths in the 90's were also based on the new synthesis method. The
01/W is by no means difficult to program. There is a Quick Edit feature
where you can adjust the parameters to the sounds you want by using
eight soft buttons. That included octave, wave-shaping intensity, filter
EG, VDA level, attack, release and effects level. Like the M1, the 01/W lets you layer up to eight Programs
simultaneously to create a powerful Combination. Even without getting
into the editing interface, the ability to layer any of the 200 programs
together means you can create many diverse and interesting sounds. Another big feature of the 01/W is its internal sequencer. Combining ease of use
with powerful editing features such as copy, paste, move, overdub and
punch-in & out recording, it is possible to create complex and highly
professional sounding music all in one box without the need for a
computer-based solution. The sequencer also works well in a
master keyboard situation so that you can select channels to control
external tone generators as well as the 01/W's internal sounds. As powerful and versatile as this workstation is, however, there are
downsides. Although there are 47 different fully assignable effects to
choose from, only two are useable at any time, and act globally over all
tracks in the sequencer! There is also no resonance control, so there
are a very limited number of fun, synthy patches, with the 01/W leaning
more toward the traditional acoustic instruments and sampled waveforms style (it's
a true digital keyboard; the polar opposite of analog ideology). In
addition, a few of the drum sets were mapped differently from the others,
and were thus not interchangeable within the sequencer.The original 01/W actually didn't sell very well, mostly because of its
limited sequencer memory capacity. But the 01/WFD expanded
the memory and added a Floppy Drive for disk storage and then it sold like hot-cakes
and was followed up with rack-mount, 76 and 88 keyboard models.
The 01/W-series was later replaced by the Trinity and Triton
workstations. Nevertheless, the Korg 01/W-series was one of the most
powerful workstations of its time, and it still holds itself together
in a mix. Admittedly, the effects section does help, but the basic
samples are quite good, especially the organ, pad and string
sounds. Guitar and piano sounds are not its strong points, but the
former benefits a lot from the great distortion effect. And the later models
also featured an upgraded and much better sounding acoustic piano sound. All in all, an
ideal board for pop, r&b, (hard) rock...less suitable for dance
music. The 01/W-series has been used by Rick Wakeman, Tony Banks,
Keith Emerson, Phil Collins, Jan Hammer, Vangelis, Jean Michel Jarre, Greg Phillanganes, Rod Argent,
Dave Stewart, Patrick Moraz, Moby, Eddie Jobson, Chuck Leavell, T
Lavitz, Tom Coster, and Peter Gabriel.Korg 01/W01/W - Original 61-key model. Was not a big seller, its sequencer memory was miniscule and had no external storage.Korg 01/WFD01/WFD - Same as original but with added internal floppy disk drive capable of loading and storing sequencer data and program patches and the sequencer memory was expanded from 7,000 notes to 48,000. The 01/WFD was a huge success for Korg.Korg 01/Wpro01/Wpro - Same as 01/WFD but featuring a 76-note keyboard and an added Acoustic Piano Sample.Korg 01/WproX01/WproX - An 88-weighted key version of the 01/Wpro. Also with a huge wood surface, it's really nice although a bit big!Korg 01R/W01R/W - A rack-mount module version of the 01/W.Korg 03R/W03R/W - A very stripped-down 01R/W, smaller, less sounds, less polyphony, budget oriented.Korg 05R/W05R/W - A rack-mount module based on the Korg X3, not a true 01/W descendent.Trivia note: Apparently when the engineers at Korg were presenting their
new workstation to replace the Korg M1, they were going to call it the
Korg M10, but apparently someone in marketing saw the name upside down,
and M10 now read ""01W"". Apparently they liked that a lot better and made
it the official name of the synth.",
Korg,707,11153,http://www.vintagesynth.com/korg/korg_707.php,3.03,2,1987,1987,0,1,1,1,1,"{'Polyphony': '8 voices', 'Oscillators': 'Digital FM', 'LFO': '1 LFO', 'Filter': 'n/a', 'VCA': 'n/a', 'Keyboard': '49 keys (w/ velocity & aftertouch)', 'Memory': '100 patches', 'Control': 'MIDI', 'Date Produced': '1987'}"," A good entry level digital synth. It's small in size, simple in its design and offers fairly easy editing. It is a digital FM type synthesizer which makes some very thin and digital but sometimes interesting sounds. The synth engine is similar to the DS-8 without on-board effects. It has 8 parts so each voice can play a different patch, and is completely programmable through MIDI. It isn't necessarily useful for any professional work but if you want a lo-fi cheesy digital sound from a toy-like synthesizer then give the 707 a try! It can even be strapped on like a guitar. It is used by Juan Atkins. ",
Korg,770,11524,http://www.vintagesynth.com/korg/770.php,3.53,3,1976,1976,0,1,0,1,0,"{'Polyphony': '1 - Monophonic', 'Oscillators': ""VCO-1: Scale (64', 32', 16', 8', 4', 2'), Waveform (triangle, square, sawtooth, pulse, PWM, External Signal).VCO-2: Coarse Tuning (16'-1'), Fine Tuning, Mode Selector (sawtooth, Ring 1, 2, Scale Noise, Pink Noise, White Noise)."", 'LFO': '2 (LFO2 is called VCO Vibrato)', 'Filter': ""(2) VCF's: High Pass and Low Pass (Traveler)."", 'VCA': 'VCA + ENVELOPE GENERATOR: Attack Time, Singing Level, Range Selector, Sustain Selector, Envelope Mode Selector, Trigger Mode Selector', 'Keyboard': '32 Keys', 'Memory': 'None', 'Control': 'VCF foot pedal; CV/Gate mods can be added; Mouth/Breath Controller', 'Date Produced': '1976'}","An ancient synthesizer from Korg. Aside from being very old, there isn't
much else to say about the 770. It was released in 1976, is monophonic,
very limited in design, flexibility and sonic possibility. It can make
some weird noises largely due to its retro-cool ring modulator. You can
also run external sounds through it. Bass, string and lead sounds are
ok. It's got a fast envelope, auto bend, and LFO re-trigger too. An ole'
classic that's fun to play with and useful if you're in the mood for
buzzy analog sounds. It is used by Freddy Fresh, Simple Minds and The
Human League.",
Korg,900PS Preset Synthesizer,11354,http://www.vintagesynth.com/korg/900ps.php,2.88,2,1975,1975,0,1,0,1,1,"{'Effects': 'Vibrato, Portamento', 'Filter': 'Yes ""Traveler""', 'VCA': 'Attack, Sustain', 'Keyboard': '37 keys', 'Memory': '29 Preset Sounds', 'Control': 'None', 'Date Produced': '1975'}","This is the rare Korg 900PS analog Preset Synthesizer. There seems to be
some confusion about the naming (sometimes called PS900), especially
since the face plate says ""Synthesizer Korg Preset."" The 900PS is quite
a basic but very interesting monosynth. The 900PS definitely 'borrowed'
some ideas from the Pro-Soloist.
Instant selection of 29 different tone colors. From the sweet sound of a
violin to the chugging of a steam locomotive. Sensitive soft-touch
switches and plentiful controls provide a wide variety of effects
including vibrato, repeat, even the harmonics you need for a Hammond
organ tone.The 900PS has 29 presets: Timpani, Electric Bass, Synthe Bass, Piano,
Harpsichord, Shamisen, Banjo, Mandolin, Xylophone, Tuba, Bassoon, Horn,
Cello, Trombone, Saxophone, Voice, Clarinet, Accordion, Trumpet, Funky
Trumpet, Synthe Trumpet, Oboe, Violin, Recorder, White Noise, Scale
Noise, Harmonics I, Harmonics II, Harmonics III.You can edit: Portamento, Repeat, Vibrato: Speed/Depth, Attack Control,
Sustain Control, Harmonics Control, Traveler Control (= filter cutoff),
Pitch Bend, Forte, Volume.There is also avery unique chromium rod 'touch bar' that runs the length of the keyboard
in front of the keys to control: Repeat, Forte, Pitch, Vibrato, Portamento.",
Korg,DDD-1,11187,http://www.vintagesynth.com/korg/ddd1.php,3.62,3,1986,1987,0,1,1,1,0,"{'Polyphony': '18 voices', 'Sounds': '18 sampled sounds: 2 Kick, 2 Snare, Low/Mid/Hi Toms, Rimshot, Claps, Crash, 2 Open hihats, 2 Closed hihats, Ride, Cowbell, Tambourine and Cabasa', 'Controls': 'pitch, dynamics, decay, roll and flam', 'Patterns': '100', 'Songs': '10', 'Keyboard': '14 assignable velocity trigger buttons', 'Effects': 'None', 'Control': 'MIDI', 'Date Produced': '1986 - 1987'}"," The DDD-1 is a digital programmable drum machine from Korg from the mid-eighties. It offers 18 electronic drum sounds with a sound that is typical of this era. Basic kicks, snares, toms, rimshot, closed hi hats, open hi hats, ride, crash, claps, cowbell, tambourine and cabasa. Additional sounds can be added using ROM cards. The DDD-1 also featured a sampling option allowing very short and limited sampling for that extra edge of unique sounds to add to your drumkit. Drum sounds can be triggered from the 14 assignable velocity sensitive trigger-pads and there are some individual outputs.  Programming the DDD-1 is fairly straight forward. Memory holds 100 patterns which can be linked or chained to form songs, for which there are 10 song memory locations. The drum sounds have editable parameters such as decay and tuning. For added groove in your patterns there are Roll and Flam effects. The DDD-1 is equipped with full MIDI implementation making it an easy drum machine to use in any MIDI studio. If you like typical eighties drum sounds, the DDD-1 would be a formidable alternative to other similar drum machines like the Roland TR-707 and offers more professional features than its counterpart, the DDD-5. ",
Korg,DDD-5,11188,http://www.vintagesynth.com/korg/ddd5.php,3.05,2,1987,1987,0,1,1,1,0,"{'Polyphony': '12 (14) voices', 'Sounds': '18 sampled sounds: 2 Kick, 2 Snare, Low/Mid/Hi Toms, Rimshot, Claps, Crash, 2 Open hihats, 2 Closed hihats, Ride, Cowbell, Tambourine and Cabasa', 'Controls': 'decay, tuning and more', 'Patterns': '100', 'Songs': '24', 'Keyboard': '7 velocity sensitive pads', 'Effects': 'None', 'Control': 'MIDI', 'Date Produced': '1987'}","The DDD-5 is a digital programmable drum machine from Korg from the
mid-eighties. It was a newer but less professional version of the DDD-1. It offers 14 electronic drum sounds at once
with a typical mid-eighties electronic drum sound that is not too
popular today. In fact today the DDD-5 may be used more often as a
trusty old play along drum machine for practicing musicians. Basic
sounds include kicks, snares, toms, rimshot, closed hi hats, open hi
hats, ride, crash, claps, cowbell, tambourine and cabasa. Additional
sounds can be added using ROM cards, compatible with the DDD-1. The DDD-5 does not include the sampling
option that was available on the DDD-1. And
there are only seven assignable Dynamic Sound buttons for triggering
drum sounds.Programming the DDD-5 is fairly straight forward. Memory holds 100
patterns which can be linked or chained to form songs, for which there
are 24 song memory locations. The drum sounds have editable parameters
such as tuning and decay. For added groove in your patterns there are
Roll and Flam effects. The DDD-5 is equipped with MIDI implementation
making it an easy drum machine to use in any MIDI environment. If you
like typical eighties drum sounds, the DDD-5 is a cheap alternative to
the DDD-1 and other similar drum machines like
the Roland TR-707.",
Korg,DDM-110,11659,http://www.vintagesynth.com/korg/ddm110.php,3.01,1,1985,1985,0,1,1,1,0,"{'Polyphony': '8 voices', 'Sounds': '9 sampled sounds (8-bit, 15.6kHz): Kick, Snare, Low and Hi Toms, Rimshot, Claps, Cymbal, Open hi-hat, Closed hi-hat', 'Controls': 'Accent, Tempo', 'Patterns': '32', 'Songs': '6', 'Keyboard': '10 buttons', 'Effects': 'None', 'Control': '5-pin DIN Sync', 'Date Produced': '1985'}","DDM-110 Super DrumsIn 1985 Korg released two very simple and affordable digital drum
machines, the DDM-110 (Super Drums) and the DDM-220 (Super
Percussion). The sounds are slim pickin's and quite cheesy! It uses
8-bit sampled drum sounds which include kick, snare, hi/low toms,
rimshot, handclap, cymbal, open and closed hi-hats. The sounds are
anything but inspiring.DDM-220 Super PercussionThere are 10 buttons, an Accent control for each
sound, and tempo controls. It stores 32 patterns and 6 songs. 
There is no MIDI, only DIN sync for external
control. Definitely designed for practicing musicians, the DDM-110/220
has little use in modern day recordings unless you are looking for old,
cheesy and lo-fi quality sounds.",
Korg,Delta,11340,http://www.vintagesynth.com/korg/delta.php,3.89,3,1979,1984,0,1,1,1,0,"{'Polyphony': 'Full polyphony (49 notes)', 'Oscillators': '1 VCO with white noise generator', 'LFO': '1 LFO: fixed sine waveform', 'Filter': '1 VCF: 24dB/oct LPF, HPF and BPF (with Cut off, resonance and env mod amount controls) ', 'VCA': '1x AR for Strings section, 1x ADSR for Synth section', 'Keyboard': '49 keys', 'Memory': 'None', 'Control': 'CV and trigger (In/Out)', 'Date Produced': '1979 - 1984'}","Korg's Delta is an analog semi-poly synth/string machine, basically a slimmed
down version of the Korg Trident. Though
limited in the range of sounds compared with other synths of the same
genre, the sheer quality of the sound from this little beastie really
does make it something of a marvel. It can be found used for cheap and
is worth it for the retro synth strings and fat bass synth tones.The synth is split into two sections, Strings and Synth, for which there
are separate audio outputs along with a combined output for headphones
or mixing. Each section has its own controls. The String section has
two pitch sliders (16' and 8') along with two tone controls (Bass and
Treble) and variable Attack and Release controls to modify the sound.
The Synth section has four pitch sliders (16', 8', 4' and 2'). There is
also a white noise generator along with a very effective 24dB/oct low
pass filter (high pass and band pass options are included too) and full
ADSR controls. The synth has no memory storage or MIDI, however it does
has voltage control and gate ins and outs.The string sounds are very basic but with its separate outputs and when
mixed together with the polysynth you do get that classic 'layered'
sound which is useful enough on this synth; and it's fully polyphonic,
so you wont be running out of notes! There is a handy joystick to the left of
the 49-note keyboard for pitch bending and modulation capabilities. The
construction is solid and heavy partly due to the implementation of a
wooden base but also because it was designed for heavy usage on the
road. Added bonuses: noise modulation, stereo out (strings/synth split),
and the ability to combine synth and strings or turn off oscillators in
the mixer section. It has been used by the Human League, Bitch
Cassidy, Flock of Seagulls, Ladytron, Zensor and Broadcast.",
Korg,DS-8,11154,http://www.vintagesynth.com/korg/ds8.php,3.75,3,1987,1987,0,1,1,1,1,"{'Polyphony': '8 voices (4 FM-operators per voice)', 'Oscillators': '2 oscillators', 'LFO': '1 LFO: saw / triangle / square / sample & hold', 'Filter': 'None', 'VCA': '4 DCA (1 per operator)', 'Keyboard': '61 keys w/ velocity & aftertouch', 'Memory': '100 user, 10 multi patches, external card slot', 'Effects': '1 unit effect (delay, chorus, flanger, double)', 'Arpeg/Seq': 'None', 'Control': 'MIDI (8-parts)', 'Date Produced': '1987'}"," The DS-8 is Korg's contender among synths like the Roland D-50 and Yamaha DX7. It is a digital FM synthesizer with 4-operators per voice, 8 voices of polyphony and 8 parts multitimbrality. It's good for percussive, strange effect noises and such because its sound (similar to the DX7) is so unique. It has some digital effects such as chorus, flange, delay and analog-like controls for modulators, envelopes and the LFO. A joystick provides control of modulation and pitch bending. It also has a performance section for quick edits on the fly using (3) real-time sliders to control timbre, EG1 and EG2. A nice alternative to the common DX-7.The DS-8 and 707 use the same YM2151 / YM2164 OPM chip set as the Yamaha DS-9, FB-01, and CX5M computer. (source CX5m.net) ",
Korg,DSS-1,11257,http://www.vintagesynth.com/korg/dss1.php,4.39,5,1986,n/a,0,1,1,1,1,"{'Polyphony': '8 Voices', 'Oscillators': '16 - 2 oscillators per voice', 'Sampler': '256k', 'Memory': '5 sec sampling', 'Synthesis': '128 Sine waveforms you re-shape using 2 sliders', 'Keyboard': '61 keys w/ velocity and aftertouch', 'Filter': 'Lowpass 2 or 4 pole + envelope', 'Control': 'MIDI', 'Date Produced': 'DSS-1: 1986, DSM-1: 1987'}","A wonderful early digital synthesizer. With eight notes of polyphony,
two oscillators per voice, a noise source, two multi-stage envelopes, a
resonant filter and auto-bend, the DSS-1 has much in common with Korg's
previous flagship DW-8000. But it went much further, boasting twin
digital delays, oscillator sync, an improved unison mode, a lush analog
VCF switchable between 12 and 24dB, and more. Whereas the DW-8000 got
its raw material from 16 stored digital waves, the DSS1's oscillators
take their source from sampling, additive synthesis, or even hand-drawn
waveforms!It actually had a warm sound and was great for creating pads and
textures, as well as deep basses and drones. The synthesis method is
based on altering various waveform samples via 2 data sliders. 
It can sample and then treat the samples as its waveforms - that
includes all filtering and envelopes.The DSM-1 (1987) was the expanded rackmount version.It was used by Jean Michel Jarre, Joe Zawinul,
Michael Cretu of Enigma, Mark Jenkins, Hiro Kawahara, Paul Nagle,
Shriekback, and Steve Winwood.",
